;year;nr;name;land;str_cl;cars_r1;cars_r2;trucks_r1;trucks_r2
169;2016;5622;AK Kerpen (W);NW;A;46477;45806;6847;6681
170;2016;6881;Bad Hersfeld;HE;A;19682;19927;;
171;2016;5015;Bensbg.Frankenforst;NW;A;37342;37492;2997;2921
172;2016;5082;Buir / Merzenich;NW;A;36522;36387;5984;5875
173;2016;4116;Burkau;SN;A;21630;20780;4828;4588
174;2016;5034;Eckenhagen;NW;A;17872;18126;2592;2463
175;2016;5068;Engelskirchen;NW;A;25436;25414;2696;2639
176;2016;4106;Gersdorf;SN;A;31876;31783;5726;5660
177;2016;4301;Gotha;TH;A;24541;24177;4751;4521
178;2016;4305;HK/Ost;TH;A;20044;20070;3681;3669
179;2016;4304;HK/West;TH;A;30972;31247;5447;5524
180;2016;6880;Herleshausen;HE;A;17852;18833;4854;4585
181;2016;4107;Hohenstein;SN;A;19337;18910;3230;3060
182;2016;5053;Köln-Klettenberg;NW;A;59973;61597;8101;7929
183;2016;4112;Ludwigsdorf (GÜG);SN;A;11964;10916;3909;3567
184;2016;4127;Meerane-West;SN;A;17034;16638;3501;3352
185;2016;4123;Nieder Seifersdorf;SN;A;13282;12306;3850;3561
186;2016;5049;Rheinbr. Rodenkirchen;NW;A;67874;67915;9145;9194
187;2016;4303;Ronneburg;TH;A;18924;18862;3570;3462
188;2016;4105;Rothschönberg;SN;A;46809;46065;9466;9091
189;2016;4366;Tunnel Jagdberg;TH;A;29606;29426;5431;5204
190;2016;4117;Wachau;SN;A;25145;24918;;
191;2016;4302;Weimar;TH;A;29942;29937;5209;5007
192;2016;5128;Wenden-Dahl;NW;A;9075;8799;1031;1042
193;2016;5008;Würselen;NW;A;27038;27303;3548;3405
194;2016;6810;AD Hattenbach 2;HE;A;27549;27608;5529;5193
195;2016;6821;AK Frankfurt NW (N);HE;A;66944;67575;7841;9586
196;2016;6816;AK Gambach (N);HE;A;24708;25032;4040;3897
197;2016;6817;AK Gambach (S);HE;A;49954;49866;6995;7142
198;2016;8035;Achern;BW;A;35330;35550;5991;5861
199;2016;6811;Alsfeld;HE;A;27790;28239;5642;5459
200;2016;8010;Eppelheim;BW;A;39001;36939;3933;3762
201;2016;6923;Frankfurt-Niederrad;HE;A;78791;77404;7269;7369
202;2016;6812;Gemünden (Felda);HE;A;28393;28687;5651;5485
203;2016;6826;Griesheim;HE;A;68337;65988;7489;7330
204;2016;6813;Grünberg-Lumda;HE;A;31078;31059;5981;5501
205;2016;6940;Heppenheim;HE;A;34902;32853;4016;3554
206;2016;8023;Karlsruhe 1;BW;A;68767;72026;10735;10596
207;2016;8053;Kleinkems;BW;A;23238;22293;2633;2382
208;2016;6825;Mörfelden-Walldorf;HE;A;67005;66860;7238;7033
209;2016;8052;Neuenburg am Rhein;BW;A;8640;8666;2204;2234
210;2016;8047;Nimburg;BW;A;37254;37377;4729;4645
